modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
lr,True,7,168,199002468738053.97,1.3904673239962666,1.6775315356175775,3.2587038827184567,-2.5777982981196925,0.05435017207336377
ridge,"{'alpha': 0.01, 'fit_intercept': True}",7,168,198987859009628.6,1.3903343712756877,1.6773811784627752,3.257992233786343,-2.5770991132585346,0.05436207850485623
ridge,"{'alpha': 0.01, 'fit_intercept': False}",7,168,199331230290995.78,1.391501329119353,1.678764298323738,3.265501011565404,-2.5905729960386696,0.054402258571550524
ridge,"{'alpha': 0.1, 'fit_intercept': True}",7,168,198986768583659.75,1.3903186078993401,1.6773619577572378,3.25791717103119,-2.5770118758845904,0.05435855050612314
ridge,"{'alpha': 0.1, 'fit_intercept': False}",7,168,199330132001688.56,1.3914856456603875,1.678745129152514,3.265426134158023,-2.590485831249524,0.05439882871680466
ridge,"{'alpha': 0.5, 'fit_intercept': True}",7,168,198981924892505.4,1.3902486002305017,1.6772765918700638,3.2575837963950542,-2.5766244341744517,0.05434289902006548
ridge,"{'alpha': 0.5, 'fit_intercept': False}",7,168,199325253394348.0,1.3914160020200887,1.6786599919939058,3.2650935818786895,-2.59009871108809,0.05438361151255622
ridge,"{'alpha': 1.0, 'fit_intercept': True}",7,168,198975876339281.47,1.3901612440739743,1.6771700206697024,3.2571676221239962,-2.576140773016282,0.054323399841191285
ridge,"{'alpha': 1.0, 'fit_intercept': False}",7,168,199319161248024.72,1.3913290648702232,1.6785537059559061,3.2646784321855655,-2.589615448828247,0.0543646508245866
ridge,"{'alpha': 10.0, 'fit_intercept': True}",7,168,198868125710177.38,1.3886093048928203,1.6752769132842429,3.2497770988097545,-2.567553429592968,0.0539843031915278
ridge,"{'alpha': 10.0, 'fit_intercept': False}",7,168,199210651548573.5,1.3897851295621302,1.6766655931947654,3.2573057232164877,-2.581034727951242,0.054034467656105846
lasso,"{'alpha': 0.01, 'fit_intercept': True}",7,168,221016664185859.1,1.6147518620151637,1.9390725439616796,4.477800652929568,-3.9690272597024765,0.041256465601087915
lasso,"{'alpha': 0.01, 'fit_intercept': False}",7,168,201159496677999.66,1.2400913682829624,1.4946090289179437,2.5494840753985626,-1.792912452776987,0.0839063288404995
lasso,"{'alpha': 0.1, 'fit_intercept': True}",7,168,202475528114575.03,1.3520317660456116,1.6241111814547133,3.102365447881908,-2.4163457437853078,0.04478056943130486
lasso,"{'alpha': 0.1, 'fit_intercept': False}",7,168,211045854354069.06,1.3710175001998322,1.6376458249963068,3.158965384885136,-2.4815957195823692,0.04725443833589202
lasso,"{'alpha': 0.5, 'fit_intercept': True}",7,168,187172859168158.6,1.0332379414905932,1.2443115162399663,1.7377371426899242,-0.8389287060903204,0.08127531192124347
lasso,"{'alpha': 0.5, 'fit_intercept': False}",7,168,191118993995667.28,1.0450166415452489,1.2566832017528013,1.7770571188240274,-0.8883829807574075,0.07834443911605707
lasso,"{'alpha': 1.0, 'fit_intercept': True}",7,168,194944731585995.8,0.9642040175493757,1.1649514548263824,1.4973132578894777,-0.5591544403423117,0.0948381691904795
