modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
lr,,14,336,69503679858864.99,0.47081681612502047,0.6247702790758034,0.839950894513161,0.18998268079608702,0.45198837652336704
ridge,{'alpha': 0.01},14,336,69362037479715.78,0.4697003832264598,0.6211040936180467,0.7040223994443231,0.2709042715461385,0.4520362743013725
ridge,{'alpha': 0.1},14,336,69149172342652.87,0.4672285671779906,0.6135223793800407,0.5685895418090047,0.3643860519039527,0.4519547214287767
ridge,{'alpha': 1.0},14,336,68957615591206.45,0.4643105685491726,0.6060294829400242,0.5037217429599007,0.4291452397947876,0.4514382562802352
ridge,{'alpha': 10.0},14,336,69896623285660.164,0.4607496133682239,0.5968774058024305,0.4171634626301825,0.5520672975593004,0.4474938967121226
lasso,{'alpha': 0.01},14,336,70441142446745.55,0.46028312294318513,0.5939061885449777,0.3916847444948567,0.5875864410962159,0.4465357725220014
lasso,{'alpha': 0.1},14,336,80180422555063.11,0.4710921856653438,0.6038616465434271,0.3897920132665223,0.5928048386482209,0.4301857719349729
lasso,{'alpha': 1.0},14,336,155020189659349.4,0.6649933643656601,0.8202243805816584,0.7191267576674046,0.2581161847608538,0.21708285684349418
lasso,{'alpha': 10.0},14,336,267122957474281.25,1.0497234845697814,1.2595312778227736,1.6954302723728647,-0.6699514355685953,0.04973443578087992
