modelo,params,T_dias,T_horas,MAPE,MAE,RMSE,MSE,R2,LjungBox_p
lr,True,14,336,193175020367678.97,1.3699039545896317,1.6568905248422912,3.123855588930521,-2.355118684404016,0.0481052862250344
ridge,"{'alpha': 0.01, 'fit_intercept': True}",14,336,193160088700716.84,1.3698385201390637,1.6568133233735491,3.123522013815537,-2.354772694715099,0.048136763981163
ridge,"{'alpha': 0.01, 'fit_intercept': False}",14,336,193301041240105.0,1.3704001364348806,1.6574501779937592,3.1261319651369086,-2.358677608422887,0.0480989106372238
ridge,"{'alpha': 0.1, 'fit_intercept': True}",14,336,193159660775591.5,1.3698319370941157,1.6568052152342467,3.123492335618796,-2.3547393252233992,0.048135632307082
ridge,"{'alpha': 0.1, 'fit_intercept': False}",14,336,193300613112990.53,1.3703935648312056,1.6574420885890055,3.1261023596651585,-2.3586443192026683,0.0480977271870875
ridge,"{'alpha': 0.5, 'fit_intercept': True}",14,336,193157759313325.88,1.369802689096463,1.6567691897973205,3.1233604734426943,-2.354591062741671,0.0481304657847022
ridge,"{'alpha': 0.5, 'fit_intercept': False}",14,336,193298710740028.44,1.370364367278842,1.657406146449249,3.125970820885482,-2.3584964135730684,0.0480924716943558
ridge,"{'alpha': 1.0, 'fit_intercept': True}",14,336,193155383464957.8,1.3697661526740532,1.6567241826241923,3.123195739556713,-2.354405840971999,0.0481239748825245
ridge,"{'alpha': 1.0, 'fit_intercept': False}",14,336,193296333761561.03,1.370327893284793,1.6573612433150045,3.1258064909099423,-2.3583116374914965,0.0480859120871478
ridge,"{'alpha': 10.0, 'fit_intercept': True}",14,336,193112801895978.9,1.3691124381480553,1.6559186759165267,3.1202481414912944,-2.351091809674186,0.0480089621430761
ridge,"{'alpha': 10.0, 'fit_intercept': False}",14,336,193253761561820.0,1.3696753936093713,1.6565575959057324,3.1228661063184244,-2.3550055612361245,0.0479696604527728
lasso,"{'alpha': 0.01, 'fit_intercept': True}",14,336,213493541198191.25,1.6197092705513094,1.9446888310224533,4.429709891724623,-3.8254025369891616,0.0353576274396058
lasso,"{'alpha': 0.01, 'fit_intercept': False}",14,336,187767158324202.47,1.2941910971474757,1.5491261392864826,2.778678293119477,-2.030102319653228,0.0847687636448675
lasso,"{'alpha': 0.1, 'fit_intercept': True}",14,336,192294095899240.2,1.290122913147534,1.5485015550370669,2.782939132138865,-1.976525065848675,0.0483427948195088
lasso,"{'alpha': 0.1, 'fit_intercept': False}",14,336,206042428132795.5,1.364229314116371,1.621432236726475,3.0997268104985296,-2.3460004747912784,0.0470460623548756
lasso,"{'alpha': 0.5, 'fit_intercept': True}",14,336,188135850957002.4,0.9816439070973074,1.185889950109038,1.5684460454103542,-0.6456279470389905,0.0931149096055627
lasso,"{'alpha': 0.5, 'fit_intercept': False}",14,336,190785965072459.3,0.9918320372477464,1.1959709770615057,1.5944063528304722,-0.6784490116544677,0.0941698281244504
lasso,"{'alpha': 1.0, 'fit_intercept': True}",14,336,198906233313746.0,0.9409965969169888,1.1384144596872006,1.4308045999976458,-0.4885660276533279,0.0966009687092844
lasso,"{'alpha': 1.0, 'fit_intercept': False}",14,336,199305678956517.4,0.9443863066610036,1.1412038661109731,1.4370051986923251,-0.4973926757767403,0.0964806998997797
lasso,"{'alpha': 10.0, 'fit_intercept': True}",14,336,263482597259762.25,1.034776070065157,1.2416698366180292,1.6499464654577545,-0.6247295422532609,0.0520498024113075
lasso,"{'alpha': 10.0, 'fit_intercept': False}",14,336,262201426720711.6,1.033481848719222,1.240704484952265,1.6478996341645666,-0.6216316453093303,0.0522439011278065
tree_regressor,"{'max_depth': 5, 'min_samples_leaf': 1}",14,336,168741401622611.12,0.9812102359390594,1.228807879066055,1.617863294247315,-0.6861249885029412,0.2422142546426589
tree_regressor,"{'max_depth': 5, 'min_samples_leaf': 3}",14,336,171589852740031.16,0.9774698239194124,1.2189698691233068,1.5836373235755323,-0.6449312755856844,0.239893255224309
tree_regressor,"{'max_depth': 5, 'min_samples_leaf': 5}",14,336,167667152604653.0,0.9645067862225792,1.1989607380738507,1.529415186849253,-0.5846046719152701,0.2424834706865175
tree_regressor,"{'max_depth': 5, 'min_samples_leaf': 10}",14,336,163423557550842.25,0.9364506671083228,1.1617445981806849,1.4312820107044024,-0.4772409340413312,0.2394826547355644
tree_regressor,"{'max_depth': 10, 'min_samples_leaf': 1}",14,336,167386368060797.62,1.0608464966544728,1.3218682043565475,1.8604929463413848,-0.960419223143064,0.2461550153326447
tree_regressor,"{'max_depth': 10, 'min_samples_leaf': 3}",14,336,170460980119840.53,1.0443021995265198,1.2944873479318475,1.7797952604229632,-0.8598541303303561,0.2441302239466663
tree_regressor,"{'max_depth': 10, 'min_samples_leaf': 5}",14,336,167353300848635.28,1.0182583172284991,1.2599006129656158,1.6816263880282556,-0.7555906210291763,0.2472285505897355
tree_regressor,"{'max_depth': 10, 'min_samples_leaf': 10}",14,336,163321944663286.03,0.9611538181068144,1.1902327483947557,1.4994103106647656,-0.5537679977282668,0.2425745066705307
tree_regressor,"{'max_depth': 15, 'min_samples_leaf': 1}",14,336,168902117199181.97,1.0633159381519606,1.324473544971251,1.8663523566052307,-0.9638213827739645,0.2466532282090035
tree_regressor,"{'max_depth': 15, 'min_samples_leaf': 3}",14,336,170254347863073.8,1.0453929913999584,1.297409099838179,1.7866630739750975,-0.8711586441838131,0.2467140194257037
tree_regressor,"{'max_depth': 15, 'min_samples_leaf': 5}",14,336,167124656620320.4,1.018570260685211,1.260609476091584,1.6831806532328375,-0.7612629744157751,0.2464905209661297
tree_regressor,"{'max_depth': 15, 'min_samples_leaf': 10}",14,336,163115939858412.44,0.9611799825194526,1.1904578694017174,1.4996172078291716,-0.5539844143982678,0.2411844239667969
tree_regressor,"{'max_depth': 30, 'min_samples_leaf': 1}",14,336,168320741935149.03,1.062487356321839,1.3249013395041151,1.864607816091954,-0.96771264383401,0.2522358437483145
tree_regressor,"{'max_depth': 30, 'min_samples_leaf': 3}",14,336,170369103282908.22,1.0468416475095783,1.298579816518137,1.7883714297573436,-0.8694315481128345,0.2476543880160755
tree_regressor,"{'max_depth': 30, 'min_samples_leaf': 5}",14,336,166385716247963.12,1.018711677613574,1.2600455481556685,1.6810699180662343,-0.7562306724091938,0.2488069528864673
tree_regressor,"{'max_depth': 30, 'min_samples_leaf': 10}",14,336,163572596909651.7,0.9607641456431792,1.1900737489175903,1.4984869149700475,-0.5530263838767554,0.2428468887571539
ramdon_forest,"{'n_estimators': 100, 'max_depth': 5, 'n_jobs': -1}",14,336,171734022286968.03,0.7580320327720279,0.9406105225804342,0.9456596190181552,0.0519456834568985,0.235238619350682
xgb_regressor,"{'random_state': 0, 'learning_rate': 0.01, 'n_estimators': 100}",14,336,108604984101597.11,0.7433533817839728,0.9143944654622773,0.9550328643060038,0.17652036174273475,0.10205830512617989
